date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:23:54	96064/96064	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2007:24:44%20GMT	https://sites.google.com/view/ryokokun/eng?authuser=0	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/enge486.html	(from )
01:23:54	85/85	U--MCZ	200	updated ('OK')	text/plain	date:Fri,%2021%20Nov%202025%2007:24:44%20GMT	https://sites.google.com/robots.txt		(from )
01:23:54	73206/73206	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Nov%202025%2007:24:45%20GMT	https://sites.google.com/view/ryokokun/POST	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/POST.1.delayed	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:55	297036/297036	U-----	200	untouched ('')	image/png	date:Tue,%2027%20Jun%202023%2004:48:00%20GMT	https://ssl.gstatic.com/atari/images/simple-header-blended-small.png	C:/My%20Web%20Sites/rkkn/ssl.gstatic.com/atari/images/simple-header-blended-small.png	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:55	96008/96008	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Nov%202025%2007:24:45%20GMT	https://sites.google.com/view/ryokokun/eng?authuser	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/engfd93.html	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:55	14495/14495	U-----	200	untouched ('')	text/javascript	etag:%22a784f95de2657e93%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/rkkn/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:55	73366/73366	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Nov%202025%2007:24:46%20GMT	https://sites.google.com/view/ryokokun/%22https://misleadingname.cc%22	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/_https_/misleadingname.a.delayed	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:55	101534/101534	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2021%20Nov%202025%2007:24:46%20GMT	https://sites.google.com/view/ryokokun/%e6%97%a5%e6%9c%ac%e8%aa%9e	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/%e6%97%a5%e6%9c%ac%e8%aa%9e.html	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:55	95981/95981	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2021%20Nov%202025%2007:24:46%20GMT	https://sites.google.com/view/ryokokun/eng	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/eng.html	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
01:23:56	92854/92854	U--MCZ	200	updated ('OK')	text/html	date:Fri,%2021%20Nov%202025%2007:24:46%20GMT	https://sites.google.com/view/ryokokun/socials	C:/My%20Web%20Sites/rkkn/sites.google.com/view/ryokokun/socials.html	(from https://sites.google.com/view/ryokokun/eng?authuser=0)
